8008,The Church at CW,LIFESTYLE,4.5,2,7.8M,100+,False,0.0,Teen,Lifestyle,2018-06-25,3.8.0,4.1 and up
8009,CW Mobile,FAMILY,,3,22M,50+,False,0.0,Everyone,Education,2018-06-25,3.3.99,4.2 and up
8010,"Freeform – Stream Full Episodes, Movies, & Live TV",FAMILY,3.7,29229,Varies with device,"1,000,000+",False,0.0,Teen,Entertainment,2018-08-06,Varies with device,Varies with device
8011,CW BLE Peripheral Simulator,COMMUNICATION,,2,1.5M,500+,False,0.0,Everyone,Communication,2017-03-08,1.0,4.4 and up
8012,Morse Machine for Ham Radio,COMMUNICATION,4.8,341,9.6M,"5,000+",False,1.0,Everyone,Communication,2015-02-20,iu4,2.0 and up
8013,Pocket RxTx Pro,PRODUCTIVITY,4.3,253,Varies with device,"5,000+",False,4.0,Everyone,Productivity,2018-03-04,Varies with device,Varies with device
8014,Morse Player,FAMILY,5.0,12,2.4M,100+,False,2.0,Everyone,Education,2017-01-23,2.1.1,3.0 and up
8015,"FXNOW: Movies, Shows & Live TV",FAMILY,3.9,31552,Varies with device,"1,000,000+",False,0.0,Teen,Entertainment,2018-07-23,Varies with device,4.4 and up
8016,My CW,TOOLS,3.0,1,55M,100+,False,0.0,Everyone,Tools,2016-10-27,2.35.1,4.1 and up
8017,CW Ringtone (Morse Code generator),COMMUNICATION,,0,269k,10+,False,2.5,Everyone,Communication,2018-03-16,1.0.2,2.2 and up
8018,30WPM Amateur ham radio Koch CW Morse code trainer,FAMILY,5.0,1,3.7M,10+,False,1.5,Everyone,Education,2018-05-18,2.0.2,2.1 and up
8019,Learn CW,FAMILY,,0,21M,1+,False,2.5,Everyone,Education,2018-04-06,1.1,4.3 and up
8020,DC All Access,FAMILY,4.4,12639,96M,"500,000+",False,0.0,Teen,Entertainment,2017-10-17,3.5,4.1 and up
8021,Koch Morse Trainer Pro,COMMUNICATION,4.6,94,1.1M,"1,000+",False,2.5,Everyone,Communication,2015-02-14,2.1.1,2.2 and up
8022,Morse Code Reader,COMMUNICATION,3.9,1436,20k,"100,000+",False,0.0,Everyone,Communication,2013-08-26,1.0,1.6 and up
8023,CW Nuclear,BOOKS_AND_REFERENCE,3.3,15,12M,"1,000+",False,0.0,Everyone,Books & Reference,2017-11-17,1.2,4.0 and up
8024,Pocket RxTx Free,PRODUCTIVITY,4.1,4513,Varies with device,"100,000+",False,0.0,Everyone,Productivity,2018-03-04,Varies with device,Varies with device
8025,CW Deposit,BUSINESS,3.0,4,498k,"1,000+",False,0.0,Everyone,Business,2014-02-06,2.1.5,2.1 and up
8026,Hallmark Channel Everywhere,FAMILY,4.2,6784,13M,"500,000+",False,0.0,Everyone,Entertainment,2017-08-30,2.3.0,4.4 and up
8027,Morse Player Free,FAMILY,4.2,268,4.2M,"50,000+",False,0.0,Everyone,Education,2017-01-23,2.1.1,3.0 and up
8028,News 8 San Diego,NEWS_AND_MAGAZINES,4.2,1137,11M,"50,000+",False,0.0,Everyone,News & Magazines,2018-07-23,5.5.0,4.3 and up
8029,"Hulu: Stream TV, Movies & more",FAMILY,4.0,319777,Varies with device,"10,000,000+",False,0.0,Teen,Entertainment,2018-08-03,Varies with device,5.0 and up
8030,Learn Morse Code - G0HYN Learn Morse,COMMUNICATION,4.0,27,600k,"5,000+",False,0.0,Everyone,Communication,2018-05-08,5.0,2.2 and up
8031,SYFY,FAMILY,3.2,3069,18M,"500,000+",False,0.0,Teen,Entertainment,2018-05-24,3.3.1.41,4.4 and up
8032,Morse Notifier Free,TOOLS,4.6,79,3.0M,"1,000+",False,0.0,Everyone,Tools,2017-11-08,2.9.9,4.0.3 and up
8033,AMC,FAMILY,3.2,20843,14M,"1,000,000+",False,0.0,Teen,Entertainment,2018-08-02,3.3.85 (2),4.4 and up
8034,Cartoon Wars 3,FAMILY,4.1,137674,72M,"5,000,000+",False,0.0,Teen,Role Playing,2018-07-04,2.0.2,2.3 and up
8035,ABC – Live TV & Full Episodes,FAMILY,3.3,50428,Varies with device,"5,000,000+",False,0.0,Teen,Entertainment,2018-07-25,Varies with device,5.0 and up
8036,Oracle CX Cloud Mobile,BUSINESS,4.4,48,54M,"5,000+",False,0.0,Everyone,Business,2018-07-07,11.13.18.05.07.03,4.4 and up
8037,CX-10WiFi,FAMILY,4.0,1419,12M,"100,000+",False,0.0,Everyone,Casual,2017-10-25,2.5_16,4.0 and up
8038,CX-OF,FAMILY,4.2,18,37M,"1,000+",False,0.0,Everyone,Entertainment,2018-01-31,7.2.1,4.3 and up
8039,cx-32wifi,FAMILY,4.1,62,6.5M,"10,000+",False,0.0,Everyone,Entertainment,2015-11-14,1.4,2.2 and up
8040,CX-17WIFI,FAMILY,4.3,49,6.6M,"10,000+",False,0.0,Everyone,Entertainment,2018-03-21,2.3,4.3 and up
8041,Cathay Pacific,TRAVEL_AND_LOCAL,3.3,4069,50M,"1,000,000+",False,0.0,Everyone,Travel & Local,2018-07-25,6.6.1,4.3 and up
8042,Cx File Explorer,TOOLS,4.7,175,4.3M,"10,000+",False,0.0,Everyone,Tools,2018-07-28,1.0.7,5.0 and up
8043,cx-33wifi,FAMILY,4.4,63,7.6M,"10,000+",False,0.0,Everyone,Entertainment,2015-11-14,1.4,2.2 and up
8044,CX-WiFi720P,FAMILY,3.1,47,5.5M,"10,000+",False,0.0,Everyone,Entertainment,2015-11-14,2.0,2.2 and up
8045,CX-60,FAMILY,3.1,19,94M,"1,000+",False,0.0,Everyone,Casual,2017-05-09,1.6,2.3 and up
8046,ACTIVEON CX & CX GOLD,VIDEO_PLAYERS,3.3,439,35M,"50,000+",False,0.0,Everyone,Video Players & Editors,2016-03-04,0.7.9,4.0 and up
8047,CX North America,BUSINESS,3.9,10,55M,500+,False,0.0,Everyone,Business,2018-03-14,1.2,4.0 and up
8048,CX-10DS,FAMILY,3.4,12,11M,"1,000+",False,0.0,Everyone,Casual,2017-09-15,1.5_6,4.0 and up
8049,CX-37,FAMILY,3.9,13,12M,"1,000+",False,0.0,Everyone,Casual,2016-05-30,1.3_4,3.0 and up
8050,Avaya CX,BUSINESS,4.4,21,21M,"1,000+",False,0.0,Everyone,Business,2018-07-25,v6.7.14,5.0 and up
8051,TI-Nspire CX Calculator Manual,FAMILY,3.9,11,27M,500+,False,5.0,Everyone,Education,2018-07-21,1.3.0,4.1 and up
8052,CX_WiFiUFO,SPORTS,3.7,818,5.3M,"100,000+",False,0.0,Everyone,Sports,2016-06-08,4.4_23,4.0 and up
8053,CX watcher,FAMILY,4.5,4,30M,500+,False,0.0,Everyone,Casual,2018-06-21,1.5_6,4.1 and up
8054,Theme For Techno Camon CX,PERSONALIZATION,4.7,42,10M,"5,000+",False,0.0,Everyone,Personalization,2017-05-10,1.0.,4.0 and up
8055,CX-95WIFI,LIFESTYLE,,6,11M,500+,False,0.0,Everyone,Lifestyle,2017-06-02,2.1,4.0 and up
8056,Theme for Tecno Camon CX / C8,LIFESTYLE,4.6,147,9.8M,"10,000+",False,0.0,Everyone,Lifestyle,2017-05-02,1.0.1,4.0 and up
8057,CX Carrier Lite,BUSINESS,,0,68M,10+,False,0.0,Everyone,Business,2018-06-11,1.0,4.0 and up
8058,Oración CX,LIFESTYLE,5.0,103,3.8M,"5,000+",False,0.0,Everyone,Lifestyle,2017-09-12,5.1.10,4.1 and up
8059,CX-40,FAMILY,3.0,2,33M,100+,False,0.0,Everyone,Entertainment,2017-12-14,3.0,4.0 and up
8060,Cx Wize,PRODUCTIVITY,,3,24M,100+,False,0.0,Everyone,Productivity,2018-07-30,2.1.0,4.1 and up
8061,Ring,COMMUNICATION,3.9,517,35M,"10,000+",False,0.0,Everyone,Communication,2018-08-06,20180805,4.4 and up
8062,Racing CX,GAME,,4,20M,500+,False,0.0,Everyone,Racing,2017-06-06,1,2.2 and up
8063,cx advance call blocker,PERSONALIZATION,5.0,3,3.4M,50+,False,0.0,Everyone,Personalization,2018-04-09,1.0,4.0 and up
8064,CX Ram Booster,TOOLS,3.9,12,2.5M,500+,False,0.0,Everyone,Tools,2017-06-02,1.0,2.2 and up
8065,CX-42,FAMILY,,0,32M,10+,False,0.0,Everyone,Casual,2018-01-02,1.2_3,4.2 and up
8066,CX Capture,BUSINESS,,1,5.8M,100+,False,0.0,Everyone,Business,2018-01-23,v1.2.2,4.0.3 and up
8067,CONNECT: The Mobile CX Summit,PRODUCTIVITY,,0,18M,50+,False,0.0,Teen,Productivity,2018-08-01,7.18.0.0,5.0 and up
8068,Hyundai CX Conference,COMMUNICATION,,0,20M,50+,False,0.0,Everyone,Communication,2018-05-27,2.10.2,4.2 and up
8069,CX-41,LIFESTYLE,,1,32M,100+,False,0.0,Everyone,Lifestyle,2017-12-14,3.0,4.1 and up
8070,CX Monthly Tech News,VIDEO_PLAYERS,,2,6.9M,500+,False,0.0,Everyone,Video Players & Editors,2016-06-09,6.1.0,4.0 and up
8071,CXmodel-ufo,FAMILY,3.8,19,12M,"1,000+",False,0.0,Everyone,Entertainment,2017-01-19,2.1,2.2 and up
8072,CX Summit,PRODUCTIVITY,,1,17M,50+,False,0.0,Teen,Productivity,2017-09-20,7.12.0.1,4.2 and up
