,App,Category,Rating,Reviews,Size,Installs,Free,Price_dollars,Content Rating,Genres,Last Updated,Current Ver,Android Ver
10008,ABC15 Arizona,NEWS_AND_MAGAZINES,3.6,1820,Varies with device,"100,000+",False,0.0,Everyone,News & Magazines,2018-07-05,Varies with device,Varies with device
10009,NATIVE ENTERTAINMENT MAGAZINE - ISSUE # 1,NEWS_AND_MAGAZINES,,0,62M,10+,False,0.0,Mature 17+,News & Magazines,2017-12-16,1,4.1 and up
10010,Mobile Strike,FAMILY,3.9,903392,Varies with device,"50,000,000+",False,0.0,Everyone 10+,Strategy,2018-06-14,3.30.4.207,4.1 and up
10011,European War 5:Empire,FAMILY,3.8,9513,82M,"100,000+",False,0.0,Everyone 10+,Strategy,2018-06-08,1.2.6,4.0.3 and up
10012,KMTV 3 News Now,NEWS_AND_MAGAZINES,3.8,265,Varies with device,"10,000+",False,0.0,Everyone 10+,News & Magazines,2018-07-05,Varies with device,Varies with device
10013,Rescue Robots Survival Games,GAME,4.0,27557,69M,"5,000,000+",False,0.0,Teen,Action,2018-07-06,F2i,4.1 and up
10014,Raytheon F-16 EW 360 VR,FAMILY,4.5,6,22M,500+,False,0.0,Everyone,Entertainment,2017-06-09,1.0.01,4.4 and up
10015,Pregnant Emergency Surgery,FAMILY,3.8,127229,34M,"10,000,000+",False,0.0,Everyone,Casual,2017-09-07,1.1.14,4.0 and up
10016,Eddsworld Amino,SOCIAL,4.9,3071,63M,"10,000+",False,0.0,Teen,Social,2018-07-13,1.8.19106,4.0.3 and up
10017,TMJ4.com - WTMJ-TV Milwaukee,NEWS_AND_MAGAZINES,3.8,728,Varies with device,"50,000+",False,0.0,Everyone 10+,News & Magazines,2018-07-05,Varies with device,Varies with device
10018,Food Network,FAMILY,4.1,7823,Varies with device,"500,000+",False,0.0,Teen,Entertainment,2018-07-27,Varies with device,Varies with device
10019,Storm Shield,WEATHER,3.5,2000,14M,"100,000+",False,0.0,Everyone,Weather,2018-07-31,4.1.12,5.0 and up
10020,EdiRange,TOOLS,3.0,736,1.8M,"100,000+",False,0.0,Everyone,Tools,2017-07-05,1.11,4.0.3 and up
10021,TRANSFORMERS: Earth Wars,FAMILY,4.5,256219,95M,"10,000,000+",False,0.0,Everyone,Strategy,2018-07-31,1.64.0.21247,4.2 and up
10022,Beard Live Camera Photo Editor,BEAUTY,4.7,900,30M,"5,000+",False,0.0,Everyone,Beauty,2018-03-25,1.1,4.0.3 and up
10023,WPTV 5 West Palm Beach,NEWS_AND_MAGAZINES,3.8,1093,Varies with device,"100,000+",False,0.0,Everyone 10+,News & Magazines,2018-07-05,Varies with device,Varies with device
10024,No Pimple - Fun games,FAMILY,3.3,24091,16M,"5,000,000+",False,0.0,Teen,Casual,2016-08-04,1.1.0,2.3 and up
